Frequency (Hz), Magnitude (dB)
12832.031250, -36.444394
12843.750000, -37.456423
12855.468750, -38.697702
12867.187500, -40.245420
12878.906250, -42.234141
12890.625000, -44.930636
12902.343750, -48.993838
12914.062500, -57.084883
12925.781250, -62.310879
12937.500000, -50.679939
12949.218750, -45.927628
12960.937500, -42.932288
12972.656250, -40.774077
12984.375000, -39.115471
12996.093750, -37.794730
13007.812500, -36.721973
13019.531250, -35.842311
13031.250000, -35.120012
13042.968750, -34.530779
13054.687500, -34.057612
13066.406250, -33.688460
13078.125000, -33.414799
13089.843750, -33.230769
13101.562500, -33.132633
13113.281250, -33.118465
13125.000000, -33.187993
13136.718750, -33.342578
13148.437500, -33.585322
13160.156250, -33.921324
13171.875000, -34.358136
13183.593750, -34.906503
13195.312500, -35.581557
13207.031250, -36.404798
13218.750000, -37.407494
13230.468750, -38.636886
13242.187500, -40.168484
13253.906250, -42.133357
13265.625000, -44.789553
13277.343750, -48.766371
13289.062500, -56.517736
13300.781250, -63.438699
13312.500000, -50.954655
13324.218750, -46.079403
13335.937500, -43.033754
13347.656250, -40.847540
13359.375000, -39.170659
13371.093750, -37.836733
13382.812500, -36.753766
13394.531250, -35.865763
13406.250000, -35.136355
13417.968750, -34.540845
13429.687500, -34.061970
13441.406250, -33.687487
13453.125000, -33.408732
13464.843750, -33.219728
13476.562500, -33.116639
13488.281250, -33.097445
13500.000000, -33.161779
13511.718750, -33.310896
13523.437500, -33.547776
13535.156250, -33.877369
13546.875000, -34.307029
13558.593750, -34.847233
13570.312500, -35.512729
13582.031250, -36.324446
13593.750000, -37.312741
13605.468750, -38.523323
13617.187500, -40.028878
13628.906250, -41.954627
