Frequency (Hz), Magnitude (dB)
10652.343750, 0.427828
10664.062500, 0.222212
10675.781250, 0.009490
10687.500000, -0.208627
10699.218750, -0.430245
10710.937500, -0.653281
10722.656250, -0.875472
10734.375000, -1.094385
10746.093750, -1.307438
10757.812500, -1.511932
10769.531250, -1.705094
10781.250000, -1.884130
10792.968750, -2.046295
10804.687500, -2.188963
10816.406250, -2.309713
10828.125000, -2.406410
10839.843750, -2.477287
10851.562500, -2.521015
10863.281250, -2.536761
10875.000000, -2.524224
10886.718750, -2.483647
10898.437500, -2.415810
10910.156250, -2.321989
10921.875000, -2.203909
10933.593750, -2.063669
10945.312500, -1.903665
10957.031250, -1.726505
10968.750000, -1.534925
10980.468750, -1.331717
10992.187500, -1.119660
11003.906250, -0.901463
11015.625000, -0.679723
11027.343750, -0.456890
11039.062500, -0.235247
11050.781250, -0.016895
11062.500000, 0.196250
11074.218750, 0.402459
11085.937500, 0.600183
11097.656250, 0.788044
11109.375000, 0.964829
11121.093750, 1.129473
11132.812500, 1.281050
11144.531250, 1.418760
11156.250000, 1.541921
11167.968750, 1.649954
11179.687500, 1.742377
11191.406250, 1.818793
11203.125000, 1.878890
11214.843750, 1.922425
11226.562500, 1.949231
11238.281250, 1.959203
11250.000000, 1.952303
11261.718750, 1.928557
11273.437500, 1.888056
11285.156250, 1.830957
11296.875000, 1.757486
11308.593750, 1.667942
11320.312500, 1.562706
11332.031250, 1.442243
11343.750000, 1.307112
11355.468750, 1.157977
11367.187500, 0.995613
11378.906250, 0.820923
11390.625000, 0.634944
11402.343750, 0.438862
11414.062500, 0.234024
11425.781250, 0.021944
11437.500000, -0.195680
11449.218750, -0.416967
11460.937500, -0.639849
11472.656250, -0.862076
11484.375000, -1.081225
11496.093750, -1.294724
11507.812500, -1.499880
11519.531250, -1.693922
11531.250000, -1.874053
11542.968750, -2.037519
11554.687500, -2.181681
11566.406250, -2.304095
11578.125000, -2.402599
11589.843750, -2.475394
11601.562500, -2.521113
11613.281250, -2.538881
11625.000000, -2.528354
11636.718750, -2.489734
11648.437500, -2.423758
11660.156250, -2.331668
11671.875000, -2.215157
11683.593750, -2.076300
11695.312500, -1.917474
11707.031250, -1.741275
11718.750000, -1.550434
11730.468750, -1.347745
11742.187500, -1.135989
11753.906250, -0.917886
11765.625000, -0.696043
11777.343750, -0.472925
11789.062500, -0.250829
11800.781250, -0.031870
11812.500000, 0.182019
11824.218750, 0.389095
11835.937500, 0.587795
11847.656250, 0.776728
11859.375000, 0.954668
11871.093750, 1.120538
11882.812500, 1.273403
11894.531250, 1.412454
11906.250000, 1.537000
11917.968750, 1.646453
11929.687500, 1.740325
11941.406250, 1.818214
11953.125000, 1.879798
11964.843750, 1.924834
11976.562500, 1.953144
11988.281250, 1.964622
12000.000000, 1.959224
12011.718750, 1.936971
12023.437500, 1.897947
12035.156250, 1.842305
12046.875000, 1.770265
12058.593750, 1.682121
12070.312500, 1.578244
12082.031250, 1.459093
12093.750000, 1.325219
12105.468750, 1.177276
12117.187500, 1.016029
12128.906250, 0.842369
12140.625000, 0.657321
12152.343750, 0.462057
12164.062500, 0.257909
12175.781250, 0.046376
12187.500000, -0.170861
12199.218750, -0.391938
12210.937500, -0.614804
12222.656250, -0.837225
12234.375000, -1.056795
12246.093750, -1.270954
12257.812500, -1.477018
12269.531250, -1.672223
12281.250000, -1.853775
12292.968750, -2.018912
12304.687500, -2.164983
12316.406250, -2.289526
12328.125000, -2.390351
12339.843750, -2.465624
12351.562500, -2.513937
12363.281250, -2.534371
12375.000000, -2.526533
12386.718750, -2.490577
12398.437500, -2.427193
12410.156250, -2.337579
12421.875000, -2.223389
12433.593750, -2.086667
12445.312500, -1.929764
12457.031250, -1.755260
12468.750000, -1.565875
12480.468750, -1.364400
12492.187500, -1.153618
12503.906250, -0.936256
12515.625000, -0.714932
12527.343750, -0.492124
12539.062500, -0.270143
12550.781250, -0.051122
12562.500000, 0.162991
12574.218750, 0.370436
12585.937500, 0.569634
12597.656250, 0.759180
12609.375000, 0.937833
12621.093750, 1.104503
12632.812500, 1.258243
12644.531250, 1.398233
12656.250000, 1.523771
12667.968750, 1.634261
12679.687500, 1.729206
12691.406250, 1.808196
12703.125000, 1.870904
12714.843750, 1.917077
12726.562500, 1.946534
12738.281250, 1.959162
12750.000000, 1.954911
12761.718750, 1.933796
12773.437500, 1.895898
12785.156250, 1.841363
12796.875000, 1.770405
12808.593750, 1.683312
12820.312500, 1.580450
12832.031250, 1.462271
12843.750000, 1.329319
12855.468750, 1.182239
12867.187500, 1.021790
12878.906250, 0.848853
12890.625000, 0.664443
12902.343750, 0.469723
12914.062500, 0.266014
12925.781250, 0.054805
12937.500000, -0.162235
12949.218750, -0.383253
12960.937500, -0.606209
12972.656250, -0.828878
12984.375000, -1.048862
12996.093750, -1.263608
13007.812500, -1.470436
13019.531250, -1.666580
13031.250000, -1.849242
13042.968750, -2.015653
13054.687500, -2.163146
13066.406250, -2.289238
13078.125000, -2.391716
13089.843750, -2.468716
13101.562500, -2.518796
13113.281250, -2.541002
13125.000000, -2.534904
13136.718750, -2.500620
13148.437500, -2.438806
13160.156250, -2.350631
13171.875000, -2.237724
13183.593750, -2.102109
13195.312500, -1.946124
13207.031250, -1.772339
13218.750000, -1.583476
13230.468750, -1.382324
13242.187500, -1.171675
